"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "HTML", "Dotenv", "C#", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\employee.cs", "C#", 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, -7, -18
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\invoice.cs", "C#", 0, 0, 0, 0, 0, 0, -20, 0, 0, -3, -16, -39
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\notification.cs", "C#", 0, 0, 0, 0, 0, 0, -21, 0, 0, -12, -17, -50
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\order.cs", "C#", 0, 0, 0, 0, 0, 0, -34, 0, 0, -3, -30, -67
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\ordersproduct.cs", "C#", 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, -11, -26
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\orderstatus.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\package.cs", "C#", 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -9, -22
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\product.cs", "C#", 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, -20, -44
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\product_image.cs", "C#", 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -9, -22
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\product_return.cs", "C#", 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -32, -68
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\productgroup.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\return.cs", "C#", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -13, -30
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\return_item.cs", "C#", 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -16, -36
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\return_reason.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\return_status_type.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\shipment.cs", "C#", 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, -21, -46
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\shipment_status.cs", "C#", 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, -8, -20
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\shipment_status_type.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\user.cs", "C#", 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, -23, -50
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Program.cs", "C#", 0, 0, 0, 0, 0, 0, -81, 0, 0, -8, -25, -114
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Properties\launchSettings.json", "JSON", 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, -1, -42
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\BackgroundTask\ClientSyncWorker.cs", "C#", 0, 0, 0, 0, 0, 0, -154, 0, 0, -26, -36, -216
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\BackgroundTask\OrderSyncWorker.cs", "C#", 0, 0, 0, 0, 0, 0, -140, 0, 0, -8, -36, -184
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\BackgroundTask\ProductSyncWorker.cs", "C#", 0, 0, 0, 0, 0, 0, -169, 0, 0, -1, -33, -203
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\ButentApiService.cs", "C#", 0, 0, 0, 0, 0, 0, -60, 0, 0, -3, -11, -74
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\CourierProviderFactory.cs", "C#", 0, 0, 0, 0, 0, 0, -74, 0, 0, -33, -16, -123
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\DpdProvider.cs", "C#", 0, 0, 0, 0, 0, 0, -339, 0, 0, -25, -69, -433
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\ICourierProvider.cs", "C#", 0, 0, 0, 0, 0, 0, -56, 0, 0, -33, -18, -107
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\IEmailService.cs", "C#", 0, 0, 0, 0, 0, 0, -75, 0, 0, -15, -16, -106
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\IInvoiceService.cs", "C#", 0, 0, 0, 0, 0, 0, -208, 0, 0, -30, -39, -277
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\IntegrationSecrets.cs", "C#", 0, 0, 0, 0, 0, 0, -76, 0, 0, -10, -22, -108
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\JwtService.cs", "C#", 0, 0, 0, 0, 0, 0, -126, 0, 0, -17, -28, -171
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\Labelgenerator.cs", "C#", 0, 0, 0, 0, 0, 0, -242, 0, 0, -29, -36, -307
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\LpExpressProvider.cs", "C#", 0, 0, 0, 0, 0, 0, -27, 0, 0, -3, -5, -35
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\NotificationService.cs", "C#", 0, 0, 0, 0, 0, 0, -376, 0, 0, -7, -48, -431
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\appsettings.Development.json", "JSON", 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, -11
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\appsettings.json", "JSON", 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, -3, -35
